;;m;f;;;
vitaminA;1 to under 4;300;300;�g;;
vitaminA;4 to under 9;400;400;�g;;
vitaminA;9 to under 14;600;600;�g;;
vitaminA;14 to under 19;900;700;�g;;
vitaminA;19 to under 31;900;700;�g;;
vitaminA;31 to under 51;900;700;�g;;
vitaminA;51 to under 71;900;700;�g;;
vitaminA;71 to under 1000;900;700;�g;;
vitaminB1;1 to under 4;0,5;0,5;mg;;
vitaminB1;4 to under 9;0,6;0,6;mg;;
vitaminB1;9 to under 14;0,9;0,9;mg;;
vitaminB1;14 to under 19;1,2;1;mg;;
vitaminB1;19 to under 31;1,2;1,1;mg;;
vitaminB1;31 to under 51;1,2;1,1;mg;;
vitaminB1;51 to under 71;1,2;1,1;mg;;
vitaminB1;71 to under 1000;1,2;1,1;mg;;
vitaminB2;1 to under 4;0,5;0,5;mg;;
vitaminB2;4 to under 9;0,6;0,6;mg;;
vitaminB2;9 to under 14;0,9;0,9;mg;;
vitaminB2;14 to under 19;1,3;1;mg;;
vitaminB2;19 to under 31;1,3;1,1;mg;;
vitaminB2;31 to under 51;1,3;1,1;mg;;
vitaminB2;51 to under 71;1,3;1,1;mg;;
vitaminB2;71 to under 1000;1,3;1,1;mg;;
vitaminB3;1 to under 4;6;6;mg;;
vitaminB3;4 to under 9;8;8;mg;;
vitaminB3;9 to under 14;12;12;mg;;
vitaminB3;14 to under 19;16;14;mg;;
vitaminB3;19 to under 31;16;14;mg;;
vitaminB3;31 to under 51;16;14;mg;;
vitaminB3;51 to under 71;16;14;mg;;
vitaminB3;71 to under 1000;16;14;mg;;
vitaminB5;1 to under 4;2;2;mg;;
vitaminB5;4 to under 9;3;3;mg;;
vitaminB5;9 to under 14;4;4;mg;;
vitaminB5;14 to under 19;5;5;mg;;
vitaminB5;19 to under 31;5;5;mg;;
vitaminB5;31 to under 51;5;5;mg;;
vitaminB5;51 to under 71;5;5;mg;;
vitaminB5;71 to under 1000;5;5;mg;;
vitaminB6;1 to under 4;0,5;0,5;mg;;
vitaminB6;4 to under 9;0,6;0,6;mg;;
vitaminB6;9 to under 14;1;1;mg;;
vitaminB6;14 to under 19;1,3;1,2;mg;;
vitaminB6;19 to under 31;1,3;1,3;mg;;
vitaminB6;31 to under 51;1,3;1,3;mg;;
vitaminB6;51 to under 71;1,7;1,5;mg;;
vitaminB6;71 to under 1000;1,7;1,5;mg;;
vitaminB7;1 to under 4;8;8;�g;;
vitaminB7;4 to under 9;12;12;�g;;
vitaminB7;9 to under 14;20;20;�g;;
vitaminB7;14 to under 19;25;25;�g;;
vitaminB7;19 to under 31;30;30;�g;;
vitaminB7;31 to under 51;30;30;�g;;
vitaminB7;51 to under 71;30;30;�g;;
vitaminB7;71 to under 1000;30;30;�g;;
vitaminB9;1 to under 4;150;150;�g;;
vitaminB9;4 to under 9;200;200;�g;;
vitaminB9;9 to under 14;300;300;�g;;
vitaminB9;14 to under 19;400;400;�g;;
vitaminB9;19 to under 31;400;400;�g;;
vitaminB9;31 to under 51;400;400;�g;;
vitaminB9;51 to under 71;400;400;�g;;
vitaminB9;71 to under 1000;400;400;�g;;
vitaminB12;1 to under 4;0,9;0,9;�g;;
vitaminB12;4 to under 9;1,2;1,2;�g;;
vitaminB12;9 to under 14;1,8;1,8;�g;;
vitaminB12;14 to under 19;2,4;2,4;�g;;
vitaminB12;19 to under 31;2,4;2,4;�g;;
vitaminB12;31 to under 51;2,4;2,4;�g;;
vitaminB12;51 to under 71;2,4;2,4;�g;;
vitaminB12;71 to under 1000;2,4;2,4;�g;;
vitaminC;1 to under 4;15;15;mg;;
vitaminC;4 to under 9;25;25;mg;;
vitaminC;9 to under 14;45;45;mg;;
vitaminC;14 to under 19;75;65;mg;;
vitaminC;19 to under 31;90;75;mg;;
vitaminC;31 to under 51;90;75;mg;;
vitaminC;51 to under 71;90;75;mg;;
vitaminC;71 to under 1000;90;75;mg;;
vitaminD;1 to under 4;15;15;�g;;
vitaminD;4 to under 9;15;15;�g;;
vitaminD;9 to under 14;15;15;�g;;
vitaminD;14 to under 19;15;15;�g;;
vitaminD;19 to under 31;15;15;�g;;
vitaminD;31 to under 51;15;15;�g;;
vitaminD;51 to under 71;15;15;�g;;
vitaminD;71 to under 1000;20;20;�g;;
vitaminE;1 to under 4;6;6;mg;;
vitaminE;4 to under 9;7;7;mg;;
vitaminE;9 to under 14;11;11;mg;;
vitaminE;14 to under 19;15;15;mg;;
vitaminE;19 to under 31;15;15;mg;;
vitaminE;31 to under 51;15;15;mg;;
vitaminE;51 to under 71;15;15;mg;;
vitaminE;71 to under 1000;15;15;mg;;
vitaminK;1 to under 4;30;30;�g;;
vitaminK;4 to under 9;55;55;�g;;
vitaminK;9 to under 14;60;60;�g;;
vitaminK;14 to under 19;75;75;�g;;
vitaminK;19 to under 31;120;90;�g;;
vitaminK;31 to under 51;120;90;�g;;
vitaminK;51 to under 71;120;90;�g;;
vitaminK;71 to under 1000;120;90;�g;;
sodium;1 to under 4;800;800;mg;;
sodium;4 to under 9;1000;1000;mg;;
sodium;9 to under 14;1200;1200;mg;;
sodium;14 to under 19;1500;1500;mg;;
sodium;19 to under 31;1500;1500;mg;;
sodium;31 to under 51;1500;1500;mg;;
sodium;51 to under 71;1500;1500;mg;;
sodium;71 to under 1000;1500;1500;mg;;
chloride;1 to under 4;1500;1500;mg;;
chloride;4 to under 9;1900;1900;mg;;
chloride;9 to under 14;2300;2300;mg;;
chloride;14 to under 19;2300;2300;mg;;
chloride;19 to under 31;2300;2300;mg;;
chloride;31 to under 51;2300;2300;mg;;
chloride;51 to under 71;2000;2000;mg;;
chloride;71 to under 1000;1800;1800;mg;;
potassium;1 to under 4;2000;2000;mg;;
potassium;4 to under 9;2300;2300;mg;;
potassium;9 to under 14;2500;2300;mg;;
potassium;14 to under 19;3000;2300;mg;;
potassium;19 to under 31;3400;2600;mg;;
potassium;31 to under 51;3400;2600;mg;;
potassium;51 to under 71;3400;2600;mg;;
potassium;71 to under 1000;3400;2600;mg;;
calcium;1 to under 4;700;700;mg;;
calcium;4 to under 9;1000;1000;mg;;
calcium;9 to under 14;1300;1300;mg;;
calcium;14 to under 19;1300;1300;mg;;
calcium;19 to under 31;1000;1000;mg;;
calcium;31 to under 51;1000;1000;mg;;
calcium;51 to under 71;1000;1200;mg;;
calcium;71 to under 1000;1200;1200;mg;;
phosphorus;1 to under 4;460;460;mg;;
phosphorus;4 to under 9;500;500;mg;;
phosphorus;9 to under 14;1250;1250;mg;;
phosphorus;14 to under 19;1250;1250;mg;;
phosphorus;19 to under 31;700;700;mg;;
phosphorus;31 to under 51;700;700;mg;;
phosphorus;51 to under 71;700;700;mg;;
phosphorus;71 to under 1000;700;700;mg;;
magnesium;1 to under 4;80;80;mg;;
magnesium;4 to under 9;130;130;mg;;
magnesium;9 to under 14;240;240;mg;;
magnesium;14 to under 19;410;360;mg;;
magnesium;19 to under 31;400;310;mg;;
magnesium;31 to under 51;420;320;mg;;
magnesium;51 to under 71;420;320;mg;;
magnesium;71 to under 1000;420;320;mg;;
sulfur;1 to under 4;13;13;mg;13 x weight;
sulfur;4 to under 9;13;13;mg;13 x weight;
sulfur;9 to under 14;13;13;mg;13 x weight;
sulfur;14 to under 19;13;13;mg;13 x weight;
sulfur;19 to under 31;13;13;mg;13 x weight;
sulfur;31 to under 51;13;13;mg;13 x weight;
sulfur;51 to under 71;13;13;mg;13 x weight;
sulfur;71 to under 1000;13;13;mg;13 x weight;
iron;1 to under 4;7;7;mg;;
iron;4 to under 9;10;10;mg;;
iron;9 to under 14;8;8;mg;;
iron;14 to under 19;11;15;mg;;
iron;19 to under 31;8;18;mg;;
iron;31 to under 51;8;18;mg;;
iron;51 to under 71;8;8;mg;;
iron;71 to under 1000;8;8;mg;;
iodine;1 to under 4;90;90;�g;;
iodine;4 to under 9;90;90;�g;;
iodine;9 to under 14;120;120;�g;;
iodine;14 to under 19;150;150;�g;;
iodine;19 to under 31;150;150;�g;;
iodine;31 to under 51;150;150;�g;;
iodine;51 to under 71;150;150;�g;;
iodine;71 to under 1000;150;150;�g;;
zinc;1 to under 4;3;3;mg;;
zinc;4 to under 9;5;5;mg;;
zinc;9 to under 14;8;8;mg;;
zinc;14 to under 19;11;9;mg;;
zinc;19 to under 31;11;8;mg;;
zinc;31 to under 51;11;8;mg;;
zinc;51 to under 71;11;8;mg;;
zinc;71 to under 1000;11;8;mg;;
selenium;1 to under 4;20;20;�g;;
selenium;4 to under 9;30;30;�g;;
selenium;9 to under 14;40;40;�g;;
selenium;14 to under 19;55;55;�g;;
selenium;19 to under 31;55;55;�g;;
selenium;31 to under 51;55;55;�g;;
selenium;51 to under 71;55;55;�g;;
selenium;71 to under 1000;55;55;�g;;
copper;1 to under 4;0,34;0,34;mg;;
copper;4 to under 9;0,44;0,44;mg;;
copper;9 to under 14;0,7;0,7;mg;;
copper;14 to under 19;0,89;0,89;mg;;
copper;19 to under 31;0,9;0,9;mg;;
copper;31 to under 51;0,9;0,9;mg;;
copper;51 to under 71;0,9;0,9;mg;;
copper;71 to under 1000;0,9;0,9;mg;;
manganese;1 to under 4;1,2;1,2;mg;;
manganese;4 to under 9;1,5;1,5;mg;;
manganese;9 to under 14;1,9;1,6;mg;;
manganese;14 to under 19;2,2;1,6;mg;;
manganese;19 to under 31;2,3;1,8;mg;;
manganese;31 to under 51;2,3;1,8;mg;;
manganese;51 to under 71;2,3;1,8;mg;;
manganese;71 to under 1000;2,3;1,8;mg;;
fluoride;1 to under 4;0,7;0,7;mg;;
fluoride;4 to under 9;1;1;mg;;
fluoride;9 to under 14;2;2;mg;;
fluoride;14 to under 19;3;3;mg;;
fluoride;19 to under 31;4;3;mg;;
fluoride;31 to under 51;4;3;mg;;
fluoride;51 to under 71;4;3;mg;;
fluoride;71 to under 1000;4;3;mg;;
